sentence,label
深圳发展银行遵循诚信专业服务效率的行训，充分体现了企业社会责任的精髓；在深圳发展银行员工行为守则中，更进一步以专门章节方式提出和谐生活的理念，要求全体员工在行为层面遵循绿色环保和可持续发展的要求，履行社会责任义务,1
关爱员工健康安全深圳发展银行关注员工工作与家庭生活的平衡，注重员工的身心健康，确保工作环境环保安全和舒适,0
五促进社会和谐发展一保护环境，促进社会可持续发展绿色信贷深圳发展银行引入赤道原则的基本理念，积极开展绿色信贷，通过严把环保准入关建立名单管理制度实行环保一票否决制等措施，支持对环境和社会友好的项目或企业，限制对环境和社会造成损害的项目或企业，促进贷款企业和项目业主履行好社会和环保责任，通过对金融资源的有效配置促进经济效益和社会效益的协调统一,1
二提出绿色新生活主张推进环保公益活动年月，为响应国家号召推动环保事业促进社会和谐进步，深圳发展银行特别策划了袋出环保新生活活动,1
通过各种渠道在全国近个城市免费派发万余个纯棉环保布袋，体现了携手发展珍爱环境的环保理念,1
发行靓绿信用卡深圳发展银行推出了环保主题的深发展靓绿信用卡，采用了国际上最先进的可降解环保材质，只提供电子账单，定期向持卡人发送环保资讯，消费积分认养树苗，通过这些新颖方式为持卡人提供了接触大自然体验绿色新生活的机会,1
启动服务检查测试项目，引入神秘访客服务监测机制，透过公平公正透明全面的服务质量检查，形成完善的客户服务管理体系,0
关注员工工作与家庭生活的平衡，注重员工的身心健康，确保工作环境环保安全和舒适,0
七环境保护与可持续发展深圳发展银行致力于环境保护和节能减排，促进社会可持续发展,1
一方面将环保理念贯彻银行服务的方方面面，另一方面号召员工身体力行，节能减排,1
推行绿色信贷年，深圳发展银行致力于建立符合银行发展战略的绿色信贷文化，落实国家节能减排政策,1
制定节能减排行业风险控制制度，强调环保准入关，建立名单管理制度，实行环保一票否决制，严格授信准入条件，坚决退出不符合国家产业政策和环保政策的两高一资两高一低两高一剩企业授信,1
同年与深圳市环保局签订了绿色金融协议合作协议，联合推出了绿色金融服务行动，建立环境保护与金融信贷联动机制，通过增加贷款以及金融优惠政策，为有融资需求的环保优化升级企业提供一揽子金融服务,1
发行靓系列环保信用卡年，深圳发展银行推出环保主题靓系列信用卡，唤起公众环保意识，激发社会责任感,1
卡片材质采用国际上最先进的可降解环保材质，避免白色污染,1
靓系列产品只提供电子账单，节约了大量纸张；同时定期向持卡人发送环保资讯,1
开展节能办公环保生活系列活动年，深圳发展银行在全国个城市同步启动节能办公环保生活系列活动，优化办公系统，采取简便易行的方式节能减排，同时引导公众一起为环保作出努力,1
